,School Code,Enrollment Percent_Low-Income,Enrollment Percent_SoC,SBA ELA 3Y Average Percent_Low-Income,SBA ELA 3Y Average Percent_SoC,SBA Math 3Y Average Percent_Low-Income,SBA Math 3Y Average Percent_SoC,Component 1,Component 2,Component 3,Segment KMeans PCA,Segment,SchoolCode,School Name,LEANameForCharterComparison,Lat,Lon
1655,4587,0.43423423423423424,0.4756756756756757,0.4421052720341989,0.495268138687378,0.328042317950536,0.453124998882413,0.13395526073066746,0.0318217940760644,0.009941383814086295,0,first,4587,Columbia Valley Elementary,Evergreen School District (Clark),45.6126258903131,-122.493281525548
1656,4588,0.0,0.9746588693957114,0.0,0.41841682393203294,0.0,0.48298217221988893,0.16634395670694083,0.3042845077827171,0.807862490166901,4,fifth,4588,Valley View Elementary,Toppenish School District,46.3824225264992,-120.301614763363
1657,4590,0.6647646219686163,0.5691868758915835,0.389700239733057,0.397017718654258,0.27671022939625395,0.282385842141409,-0.11319787061637633,0.22560871253801634,-0.049216986082138106,1,second,4590,Clovis Point,Eastmont School District,47.3986871325916,-120.256441836735
1658,4591,0.27906976744186046,0.2988372093023256,0.44687502257526,0.5333333457388529,0.28773584905660404,0.4269841148739771,0.15659741041996322,-0.19278789130603408,0.07871884648782505,0,first,4591,Jefferson Middle School,Vancouver School District,45.7073771325916,-122.70159
1659,4592,0.07692307692307693,0.5984615384615385,0.372881376068677,0.7972665251387858,0.31666667461395304,0.824742280812304,0.6727942118769416,-0.0005301435346242982,0.29420483036917083,2,third,4592,Newcastle Elementary School,Issaquah School District,47.527511006655,-122.160011652538
1660,4593,0.29545454545454547,0.10454545454545454,0.56804735010017,0.562499983236194,0.491124260154685,0.44186048600530603,0.21443188990622272,-0.37591159535678315,-0.147731973477223,0,first,4593,Freeman Middle School,Freeman School District,47.5170303752552,-117.195432601639
1661,4594,0.39359267734553777,0.38215102974828374,0.39370078420866705,0.391089103582057,0.252964426788076,0.221674885178548,-0.10054104264084085,-0.07471053265294511,0.07986375656425086,0,first,4594,Fryelands Elementary,Monroe School District,47.8590356840383,-122.010495804375
1662,4595,0.5325112107623319,0.6053811659192825,0.41666667562135495,0.44084824633081504,0.360752078306315,0.37388393279089005,0.042266803068474273,0.183932283679564,-0.01935002763866209,0,first,4595,Maya Angelou Elementary,Pasco School District,46.28249,-119.2000415744
1663,5010,0.3171471927162367,0.2898330804248862,0.560931913314327,0.609999966125489,0.34352519614474103,0.43400000201416,0.2317235005382325,-0.19566550881647876,-0.04159184908195911,0,first,5010,Haller Middle School,Arlington School District,48.1922828822343,-122.12140302481
1664,5015,0.0,0.24555160142348753,0.0,0.827868857841215,0.0,0.812500005587935,0.5091144479038829,-0.25221491521662825,0.6324111332981703,2,third,5015,Cascade View Elementary School,Snoqualmie Valley School District,47.5316072191025,-121.875720259537
